City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
168,pahrump,0,US,1525322933,71,36.21,-115.98,41.43,3.6
169,ouango,76,CD,1525323173,96,4.31,22.55,71.22,4.38
170,marzuq,0,YE,1525323174,67,14.4,46.47,74.55,3.71
171,te anau,100,NZ,1525322892,94,-45.41,167.72,49.08,2.98
172,victoria,80,BN,1525322570,98,5.28,115.24,85.08,5.06
173,bambous virieux,92,MU,1525322778,72,-20.34,57.76,77.52,13.33
174,sal rei,0,CV,1525323175,97,16.18,-22.92,69.06,18.07
175,faanui,68,PF,1525322773,100,-16.48,-151.75,82.65,11.32
176,rawson,0,AR,1525322775,49,-43.3,-65.11,51.15,13.94
177,katiola,56,CI,1525323176,86,8.14,-5.1,75.81,8.79
178,kinango,88,KE,1525323176,100,-4.13,39.32,76.89,13.67
179,umm kaddadah,0,SD,1525323176,18,13.6,26.69,84.99,3.2
180,atar,12,MR,1525323177,34,20.52,-13.05,58.08,6.89
181,pasni,0,PK,1525323177,56,25.26,63.48,93.45,17.29
182,duku,0,NG,1525323177,75,11.24,4.91,78.87,9.75
183,tual,36,ID,1525323178,100,-5.67,132.75,84.0,12.15
184,bonnyville,0,CA,1525322771,43,54.27,-110.74,52.77,13.27
185,el olivar,8,ES,1525323178,92,40.61,-2.75,41.25,9.08
186,mana,0,RS,1525323179,67,43.52,20.24,64.11,3.6
187,smithers,80,CA,1525322792,73,54.78,-127.17,37.11,2.37
188,duncan,88,US,1525322957,97,34.5,-97.96,66.0,15.35
189,udachnyy,68,RU,1525322833,62,66.42,112.4,28.11,4.61
190,esperance,76,TT,1525322875,92,10.24,-61.45,76.35,6.89
191,silver city,0,US,1525323180,34,32.77,-108.28,41.97,4.5
192,altamont,0,CA,1525322920,61,49.4,-98.5,43.68,8.41
193,sangmelima,92,CM,1525323181,94,2.93,11.98,70.5,2.59
194,los llanos de aridane,68,ES,1525322772,100,28.66,-17.92,61.14,10.36
195,issoire,92,FR,1525323181,96,45.54,3.25,42.42,5.61
196,sambava,0,MG,1525322771,100,-14.27,50.17,79.95,14.67
197,northam,92,GB,1525322843,96,51.04,-4.21,45.93,7.07
198,isla mujeres,20,MX,1525323182,90,21.23,-86.73,76.98,8.23
199,kirkwall,48,GB,1525323182,95,58.98,-2.96,45.21,16.96
200,torbay,68,CA,1525322867,83,47.66,-52.73,39.45,15.95
